context,correct,wrong,difficulty
"ເຈົ້າ___ແທ້","ໜ້າຮັກ","ນ່າຮັກ","1"
"ໂຈດນີ້___ໂພດ","ຍາກ","ຢາກ","2"
"ຍ່າງຂຶ້ນ___","ຂັ້ນໄດ","ບັນໄດ","2"
"ເອື້ອຍຈ່ອຍ ມັກມາວຽກ___","ສວາຍ","ສວຍ","2"
"ເປີດຮ້ານ___","ເສີມສວຍ","ເສີມສວາຍ","2"
"___ເບິ່ງໃຫ້ຖືກຕ້ອງກ່ອນຈຶ່ງສົ່ງ","ກວດ","ກວາດ","2"
"ແມ່ໃຊ້ໄປ___ໃບໄມ້ຢູ່ໜ້າເຮືອນ","ກວາດ","ກວດ","3"
"___ ມິດຕະພາບລາວ - ໄທ","ຂົວ","ຂວາ","2"
"ລ້ຽວ___ໄດ້ຕະຫຼອດ","ຊ້າຍ","ສ້າຍ","1"
"___ໄປຕະຫຼາດຈັກໂມງ?","ຊິ","ສິ","1"
"ຈັກ___ເຄື່ອງເພແລ້ວ","ຊັກ","ສັກ","1"
"ຮ້ານ___ລາຍ","ສັກ","ຊັກ","1"
"ທຸກອາຊີບມີກຽດ ແລະ ___","ສັກສີ","ຊັກສີ","2"
"ຄວາມ___ບໍ່ມີໃນໂລກ","ລັບ","ຫຼັບ","1"
"ຂໍກາເຟຈອກ___ຈອກໜຶ່ງເດີ້","ນ້ອຍ","ໜ້ອຍ","3"
"ສະບາຍດີປີ___ລາວ","ໃໝ່","ໄໝ່","2"
"ຄົນລາວສ່ວນຫຼາຍນຸ່ງ___ໄປດອງ","ສິ້ນໄໝ","ສິ້ນໃໝ","1"
"ເລື່ອນເວລາອອກໄປຢ່າງບໍ່ມີ___","ກຳນົດ","ກຳໜົດ","3"
"ເດັກນ້ອຍມັກກິນ___","ເຂົ້າໜົມ","ຂະໜົມ","2"
"ຢາກມີ____ທາງການເງິນ","ອິດສະຫຼະ","ອິດສະລະ","3"
"ພໍ່ແມ່ຍອມເສຍ___ເພື່ອລູກໄດ້ສະເໝີ","ສະລະ","ສະຫຼະ","3"
"ນໍ້າເຕົາຮູ້ເຮັດມາຈາກ___","ຖົ່ວເຫຼືອງ","ທົ່ວເຫຼືອງ","2"
"ຫົວໜ້າເວົ້າໄປ___ແລ້ວ","ທົ່ວທີບ","ຖົ່ວທີບ","2"
"ຄວນ___ການໃຊ້ຄຳຫຍາບ","ຫຼີກລ່ຽງ","ຫຼີກລ້ຽງ","3"
"ແມ່ເຖົ້າ___ຫຼານຢູ່ເຮືອນ","ລ້ຽງ","ລ່ຽງ","1"
"ຊີ້ນ___ໂພດ","ຫຍາບ","ຢາບ","1"
"ຂອງກິນບໍ່ກິນມັນ___","ເນົ່າ","ເໜົ່າ","3"
"ຂອງເກົ່າບໍ່___ມັນລືມ","ເລົ່າ","ເຫຼົ່າ","1"
"ຄວາຍສີຂາວໝົດໂຕ ແມ່ນຄວາຍ___","ດ່ອນ","ເຜືອກ","3"
"ຊ້າງສີຂາວໝົດໂຕ ແມ່ນຊ້າງ___","ເຜືອກ","ດ່ອນ","3"
"ການ___ມີຄວາມສ່ຽງ","ລົງທຶນ","ລົງທຸນ","3"
"ມາເດີ້! ກິນຕຳ___ ປີ້ງໄກ່","ໝາກຫຸ່ງ","ໝາກຮຸ່ງ","2"
"ຕຳໝາກຫຸ່ງຮ້ານນີ້ນົວ___","ໂພດ","ມາກແມ່","1"
"ຈະເລີນ___","ຮຸ່ງເຮືອງ","ຫຸ່ງເຮືອງ","2"
"ຮ້ານອາຫານນີ້ ແມ່ນຮ້ານ___","ທີ່ມີຊື່ສຽງ","ເຈົ້າດັງ","2"
"ມື້___ຂອງການເປີດສົກຮຽນ","ທຳອິດ","ແລກ","3"
"ຫາກໍເຄີຍມາຮ້ານນີ້___","ຄັ້ງທຳອິດ","ຄັ້ງແລກ","3"
"___ມວນຊົນ","ສື່","ຊື່","1"
"___ດີ___ເດັ່ນ","ຊີງ","ຊິງ","3"
"___ຊັ່ງນໍ້າໜັກ","ຊິງ","ຊີງ","3"
"___ອາຫານແດ່ເດີ້","ສັ່ງ","ຊັ່ງ","2"
"___ອຸດົມໄຊ","ແຂວງ","ແຂງ","1"
"ເສຍຄ່າ___","ປັບໃໝ","ປັບໄໝ","2"
"_____ ໄດ້ເຫັນໜ້າ ກໍດີໃຈແລ້ວ","ພຽງແຕ່","ພຽງແຄ່","1"
"ຄູມີໜ້າທີ່___ຄວາມຮູ້","ຖ່າຍທອດ","ສົ່ງທອດ","3"
