context,correct,wrong,difficulty,order
"CONTEXT","TRUE","FALSE","LEVEL",1
"ເຈົ້າ___ແທ້","ໜ້າຮັກ","ນ່າຮັກ","1",2
"ໂຈດນີ້___ໂພດ","ຍາກ","ຢາກ","2",3
"ຍ່າງຂຶ້ນ___","ຂັ້ນໄດ","ບັນໄດ","2",4
"ເອື້ອຍຈ່ອຍ ມັກມາວຽກ___","ສວາຍ","ສວຍ","2",5
"ເປີດຮ້ານ___","ເສີມສວຍ","ເສີມສວາຍ","2",6
"___ເບິ່ງໃຫ້ຖືກຕ້ອງກ່ອນຈຶ່ງສົ່ງ","ກວດ","ກວາດ","2",7
"ແມ່ໃຊ້ໄປ___ໃບໄມ້ຢູ່ໜ້າເຮືອນ","ກວາດ","ກວດ","3",8
"___ ມິດຕະພາບລາວ - ໄທ","ຂົວ","ຂວາ","2",9
"ລ້ຽວ___ໄດ້ຕະຫຼອດ","ຊ້າຍ","ສ້າຍ","1",10
"___ໄປຕະຫຼາດຈັກໂມງ?","ຊິ","ສິ","1",11
"ຈັກ___ເຄື່ອງເພແລ້ວ","ຊັກ","ສັກ","1",12
"ຮ້ານ___ລາຍ","ສັກ","ຊັກ","1",13
"ທຸກອາຊີບມີກຽດ ແລະ ___","ສັກສີ","ຊັກສີ","2",14
"ຄວາມ___ບໍ່ມີໃນໂລກ","ລັບ","ຫຼັບ","1",15
"ຂໍກາເຟຈອກ___ຈອກໜຶ່ງເດີ້","ນ້ອຍ","ໜ້ອຍ","3",16
"ສະບາຍດີປີ___ລາວ","ໃໝ່","ໄໝ່","2",17
"ຄົນລາວສ່ວນຫຼາຍນຸ່ງ___ໄປດອງ","ສິ້ນໄໝ","ສິ້ນໃໝ","1",18
"ເລື່ອນເວລາອອກໄປຢ່າງບໍ່ມີ___","ກຳນົດ","ກຳໜົດ","3",19
"ເດັກນ້ອຍມັກກິນ___","ເຂົ້າໜົມ","ຂະໜົມ","2",20
"ຢາກມີ____ທາງການເງິນ","ອິດສະຫຼະ","ອິດສະລະ","3",21
"ພໍ່ແມ່ຍອມເສຍ___ເພື່ອລູກໄດ້ສະເໝີ","ສະລະ","ສະຫຼະ","3",22
